name,value,similarity,value_rank,similarity_rank
Lu2Sn2O7,332.42,0.6889243125915527,1.0,6517.0
B4O2,210.30897082634,0.7347154021263123,2.0,1898.0
GeTe,164.72468363992363,0.7040666937828064,3.0,5043.0
Pd(NN)2Pd,164.56,0.7684745788574219,4.0,392.0
Yb2S3,158.6046469135798,0.7323170304298401,5.0,2096.0
AgLa,155.00619564586069,0.7161723375320435,6.0,3746.0
sulfur,154.18909813880933,0.10386079549789429,7.0,9478.0
Be,130.12917470882437,0.1548929512500763,8.0,9460.0
BeOBe,128.24,0.6867115497589111,9.0,6736.0
Bi,124.1857304128024,0.7321587800979614,10.0,2109.0
NiTe,123.12870801978087,0.607587993144989,11.0,9323.0
Li2MnP2O7,109.51766025870796,0.6756593585014343,12.0,7522.0
HCl,107.62530949555824,0.7297583818435669,13.0,2315.0
PbTe,107.09,0.7118842005729675,14.0,4207.0
NaO5,103.22250211938004,0.733342170715332,15.0,2012.0
NaIO3,102.11227711802258,0.7485034465789795,16.0,972.0
TlSbSe2,100.66251169372144,0.5836367011070251,17.0,9409.0
FeOF,100.048420057294,0.7106572389602661,18.0,4352.0
HfTe5,99.38,0.744753360748291,19.0,1171.0
RbS,99.08962801899578,0.7043442726135254,20.0,5001.0
tellurium,98.16686395515352,0.7241328954696655,21.0,2873.0
mercury,96.57975697877762,0.10380657762289047,22.0,9479.0
La2O3,96.47,0.7686647176742554,23.0,389.0
Ni3Sb,96.31587269496364,0.6172220706939697,24.0,9255.0
CePd2Zn3,95.40789651602422,0.6934013366699219,25.0,6106.0
MoH,94.2752362478645,0.6016429662704468,26.0,9349.0
MgOMg,93.44,0.7387548089027405,27.0,1565.0
HBr,91.51019137095852,0.786340057849884,28.0,190.0
CeSbTe,91.44649410748151,0.6609448790550232,29.0,8282.0
CeAgSb2,91.0804600747551,0.6918913722038269,30.0,6260.0
ZrTe5,89.68157228184923,0.6943475008010864,31.0,6000.0
CeTe2,86.60162248531958,0.6829541921615601,32.0,7035.0
Nd2O3,83.43608004298575,0.716907799243927,33.0,3667.0
SiGe,81.98416795124601,0.7774559855461121,34.0,260.0
AgBiSe2,81.84,0.708330512046814,35.0,4619.0
SiH,81.59226692044263,0.6903588771820068,36.0,6383.0
CeAgAs2,81.466541273972,0.7218909859657288,37.0,3114.0
CeTl3,81.22992936785971,0.684334397315979,38.0,6929.0
EuGa4,80.15852521275437,0.688024640083313,39.0,6610.0
CdS,80.12564854907325,0.7225196957588196,40.0,3043.0
GaN,79.03543227698601,0.7592517733573914,41.0,581.0
SnTe,77.97,0.7133045792579651,42.0,4050.0
AgI,77.77505267294973,0.669101357460022,43.0,7894.0
CuRh2O4,77.07650908480935,0.7018135786056519,44.0,5278.0
AuZn,76.49785348060753,0.7350459694862366,45.0,1871.0
ReO3,75.70483432738801,0.6882427334785461,46.0,6578.0
Al2CeZn2,75.36250822986614,0.8055428862571716,47.0,60.0
ZrCl3,74.56158320897319,0.6659877300262451,48.0,8052.0
KTe,74.35750765154955,0.6589951515197754,49.0,8370.0
PdTe,74.14374756341098,0.7315394282341003,50.0,2164.0
Nb3Sn,72.24509626911625,0.6710948944091797,51.0,7796.0
CoO,71.24919732012714,0.6999102234840393,52.0,5478.0
HfSe3,70.73355655777577,0.688140332698822,53.0,6587.0
Nb3Ge,70.45203254919996,0.6654205918312073,54.0,8084.0
Bi4Te3,70.29752486321493,0.7210027575492859,55.0,3211.0
TiB2,70.14673641711522,0.7191192507743835,56.0,3418.0
ScFe2,70.12057691659108,0.6733060479164124,57.0,7670.0
TeSe2,68.95,0.5635039806365967,58.0,9433.0
Pt5Ce,68.73126158369817,0.7134990692138672,59.0,4030.0
NpGa3,68.55126630616599,0.6670003533363342,60.0,7996.0
BiSb,67.57,0.7037040591239929,61.0,5087.0
Se(Te),67.54,0.7402294278144836,62.0,1461.0
AlAs,67.20273088713232,0.7618856430053711,63.0,512.0
NiSe,66.9514557133314,0.5944358706474304,64.0,9375.0
As2Te3,66.55728910094409,0.6889649033546448,65.0,6512.0
WO3,66.39087077949627,0.7509422898292542,66.0,871.0
LiZnSb,65.98375485159667,0.6739543676376343,67.0,7636.0
AgBr,65.72068503292819,0.699827253818512,68.0,5485.0
GaP,64.69,0.7641083598136902,69.0,456.0
AgBiS2,64.66187895946642,0.7189192175865173,70.0,3441.0
NaBiS2,64.37523392185093,0.7055361270904541,71.0,4886.0
AlSb,64.04377988531682,0.7707780599594116,72.0,356.0
LaCoO3,63.8350098538861,0.8121435046195984,73.0,27.0
BaTbO3,63.78220106917093,0.7102869749069214,74.0,4395.0
Ni2Si,63.76,0.652509331703186,75.0,8595.0
ZnO,63.58641670305606,0.7289549708366394,76.0,2391.0
CePd2Ga3,63.577371445950526,0.6815177202224731,77.0,7147.0
RbGa3,61.89363211696158,0.7266841530799866,78.0,2623.0
Fe2Tm,61.30544084126186,0.7288272380828857,79.0,2401.0
CH3COOH,60.891666860219296,0.7038981318473816,80.0,5062.0
NpIn3,60.85135515174304,0.6780031323432922,81.0,7372.0
CeMg3,60.19410077302205,0.7200546860694885,82.0,3311.0
RbTe,60.15861502242907,0.7024523615837097,83.0,5213.0
PtN2,60.14601893665059,0.6963533759117126,84.0,5805.0
BaTiO3,60.14132429800616,0.6978983879089355,85.0,5653.0
AuMnSn,60.118911415636646,0.7541126012802124,86.0,745.0
ErFe2,59.97598817811009,0.7525425553321838,87.0,805.0
C,59.4207700923528,0.1772545576095581,88.0,9459.0
AuCuZn2,59.37104818805978,0.6935387849807739,89.0,6089.0
La2Se4,59.36877471548651,0.7708622813224792,90.0,355.0
LiH,58.93316503249643,0.6549648642539978,91.0,8507.0
ZrTe3,58.595546602971886,0.6803814172744751,92.0,7227.0
HoFe2,58.50497235897131,0.6615462303161621,93.0,8255.0
CuBi,58.29200486044269,0.7417439818382263,94.0,1364.0
Ni2Ge,58.26,0.6320045590400696,95.0,9081.0
Fe4Y2,58.054932180644165,0.7009385228157043,96.0,5361.0
AlP,58.01712685786192,0.6920467019081116,97.0,6246.0
CePd2Al3,58.0154859922019,0.6547990441322327,98.0,8514.0
AgCl,57.83943833704673,0.6580195426940918,99.0,8403.0
PtP2,57.58,0.7236255407333374,100.0,2922.0
Ag3Ni,57.30147148509997,0.7028374075889587,101.0,5179.0
Li3Bi,57.24297805229613,0.6471025347709656,102.0,8753.0
LiMgP,57.06358174583378,0.6411909461021423,103.0,8894.0
DyFe2,56.85483257411721,0.7436664700508118,104.0,1228.0
V3Si,56.83165740785984,0.7472459673881531,105.0,1037.0
ZrSe3,56.51668594490605,0.6489847302436829,106.0,8707.0
TlI,56.136002493146975,0.6996951103210449,107.0,5494.0
NiS2,55.96640234968604,0.7351190447807312,108.0,1864.0
PuTe,55.67474377123562,0.6940368413925171,109.0,6040.0
CeIrIn5,55.43311800256572,0.6881377100944519,110.0,6588.0
LiInSe2,55.25927821319354,0.6133736371994019,111.0,9290.0
SnI2,55.0,0.7024976015090942,112.0,5209.0
BaThO3,54.983140822351714,0.6974259614944458,113.0,5710.0
SnSb2Te4,54.88,0.660226583480835,114.0,8314.0
TbFe2,54.85703407988954,0.6413957476615906,115.0,8887.0
LiB,54.776199281962725,0.6200128197669983,116.0,9234.0
ZnNi,54.70286349843372,0.7001628875732422,117.0,5446.0
HgI,54.67177888626411,0.7010350823402405,118.0,5350.0
PuIn3,54.66457937571096,0.6846661567687988,119.0,6897.0
I,54.62690038462512,0.10498823970556259,120.0,9465.0
PtCe,54.41009575048604,0.6880552768707275,121.0,6605.0
EuSb2,54.31658511398752,0.7265616059303284,122.0,2639.0
GeSe,54.30560192442179,0.7028873562812805,123.0,5171.0
IrTi,54.0156050966449,0.7810572981834412,124.0,238.0
Mg3Hg,54.01260971612117,0.6872842311859131,125.0,6675.0
BAs,53.90703594177657,0.6751184463500977,126.0,7553.0
Li3Sb,53.89903459035477,0.6439335942268372,127.0,8837.0
TePt,53.89789616445093,0.5889908075332642,128.0,9394.0
ThPtSn,53.77417299532404,0.7312184572219849,129.0,2195.0
NaNbO3,53.67708236458061,0.6998007893562317,130.0,5488.0
CeIr2B2C,53.658604938862936,0.6838518977165222,131.0,6963.0
SrZnBi2,53.63683425336712,0.715305745601654,132.0,3857.0
Nb(O),53.50352560136457,0.5525209307670593,133.0,9440.0
BeO,53.46236086820885,0.632184624671936,134.0,9078.0
Al2O3,53.449770876007086,0.7823569774627686,135.0,224.0
LaAgSb2,52.59254002430581,0.7087247967720032,136.0,4576.0
BaZn2Sn2,52.56061709649249,0.7394940853118896,137.0,1513.0
HgO,52.35102155992558,0.6816112399101257,138.0,7139.0
Nd2O2Te,52.19373071478185,0.6950693726539612,139.0,5928.0
silicon,52.13066236304972,0.6557348370552063,140.0,8480.0
YZnAsO,52.0171431779999,0.7181839942932129,141.0,3535.0
NaTaO3,51.7850541520956,0.6911969184875488,142.0,6317.0
AuBe,51.60060728848218,0.6468881964683533,143.0,8760.0
Sr2CdWO6,51.379929288817046,0.6928675174713135,144.0,6160.5
CeMg,51.26363873387015,0.7521275281906128,145.0,826.0
Li2AgSb,51.07,0.6534955501556396,146.0,8561.0
LaSO,50.99167320088757,0.7361512780189514,147.0,1773.0
U3Si,50.880097441360654,0.7119504809379578,148.0,4193.0
CeTe,50.51964759506018,0.6858639717102051,149.0,6801.0
PbBr2,50.51882191333723,0.7220987677574158,150.0,3075.0
LaSrZnNbO6,50.41,0.7219981551170349,151.0,3097.0
Ge3As4,50.34979875939556,0.7213515639305115,152.0,3171.0
Si3N4,50.30977646011068,0.7561202049255371,153.0,675.0
LiBC,50.24902974533688,0.6239748597145081,154.0,9198.0
KNbO3,50.19836053591242,0.6867254376411438,155.0,6735.0
SnBi2Te4,50.18,0.6843531131744385,156.0,6926.0
uranium,50.040353062811526,0.6546083092689514,157.0,8520.0
CaAs,50.028431744445896,0.7375001907348633,158.0,1654.0
CdTe,50.01064069844934,0.696610689163208,159.0,5783.0
C3N4,49.86082345672081,0.6719092130661011,160.0,7750.0
MoGe2,49.75722088580561,0.721955418586731,161.0,3107.0
Sb2Te3,49.74,0.7035229206085205,162.0,5100.0
CuBr,49.57983659255157,0.7376148104667664,163.0,1643.0
SnSe,49.35256986381688,0.6406828761100769,164.0,8903.0
Pt3Mo1,49.33051190571771,0.7128511667251587,165.0,4095.0
Sr2FeMoO6,49.27571134130631,0.6606394052505493,166.0,8299.0
PbSe,49.22,0.6599528789520264,167.0,8326.0
CuAsSe2,49.15520037044729,0.7101795673370361,168.0,4409.5
Se,49.15,0.10378316789865494,169.0,9480.0
CU1,48.80595960484896,0.7180965542793274,170.0,3543.0
Cu3Cl3,48.79830710712054,0.6882347464561462,171.0,6579.0
Sr2ZnWO6,48.65778607617847,0.7304818034172058,172.0,2258.0
PtO2,48.6164784328439,0.720929741859436,173.0,3219.0
(BN)12,48.52420904547586,0.7366946935653687,174.0,1723.0
ThTaN3,48.37139716205162,0.6954433917999268,175.0,5885.0
LaBaZnTaO6,48.11,0.7774322032928467,176.0,263.0
LiZnP,48.08117370323004,0.6715103983879089,177.0,7769.0
Sb2SeTe2,47.89,0.6603472232818604,178.0,8311.0
CeCd,47.75442131859632,0.6851800084114075,179.0,6857.0
Li2CuSb,47.64596335519538,0.6347524523735046,180.0,9032.0
NaZnAs,47.58481181922962,0.6931345462799072,181.0,6131.0
CuTaN2,47.57995620717186,0.6680291891098022,182.0,7956.0
CeSe,47.45013638489576,0.6545251607894897,183.0,8527.0
LaMnO3,47.3362447421566,0.8133172392845154,184.0,22.0
NiP2,47.33,0.5809486508369446,185.0,9414.0
ZnGeP2,47.293088629849215,0.6738703846931458,186.0,7639.0
BrOONO,47.291495824782686,0.6900852918624878,187.0,6410.0
Ta2C,47.18904764981353,0.6665368676185608,188.0,8021.0
Pt3Sc,47.181694820800594,0.7235040068626404,189.0,2937.0
EuMnO3,47.16069160034173,0.7365913987159729,190.0,1734.0
PrH3,47.0347841773101,0.7350227236747742,191.0,1874.0
BaTe2,46.88392128876114,0.7148841619491577,192.0,3900.0
AgNbO3,46.72622538119301,0.6970210671424866,193.0,5749.0
Ni5Ga3,46.50585974098289,0.6441451907157898,194.0,8834.0
KTaO3,46.493965410119245,0.6892825961112976,195.0,6485.0
Pb3Pu,46.47474827990189,0.6992847323417664,196.0,5531.0
LiErO2,46.17300706532966,0.7066686153411865,197.0,4776.0
ZnAl2S4,46.15659097551679,0.6309420466423035,198.0,9101.0
CeIn3,46.08932432401828,0.734710156917572,199.0,1899.0
HoCuAs2,45.98971729402174,0.6322835087776184,200.0,9076.0
CeAu4Si2,45.92977843625543,0.6828360557556152,201.0,7043.0
CoGeCr,45.833990734186685,0.7196764945983887,202.0,3356.0
Bi2Te3,45.7130918959144,0.7218479514122009,203.0,3118.0
PSi,45.70986496441347,0.6620283722877502,204.0,8232.0
CoOOH,45.60837150754547,0.6891266703605652,205.0,6497.0
V3Ge,45.592722187540645,0.7221820950508118,206.0,3069.0
GdIn3,45.557937018344354,0.7264909744262695,207.0,2651.0
ZnCe,45.4333862785464,0.6679304838180542,208.0,7963.0
PtSiSb,45.34,0.7129801511764526,209.0,4080.0
CeAg,45.32390306288205,0.7254877686500549,210.0,2743.0
PtAs2,45.28410449683274,0.7164810299873352,211.0,3710.0
Sr2CoNbO6,45.21,0.6545535922050476,212.0,8524.0
EuVO3,45.160487494756296,0.7178401947021484,213.0,3566.5
IrSi3P3,45.09,0.7628293633460999,214.0,489.0
BaCeO3,45.03582207192154,0.6899830102920532,215.0,6426.0
KPO4,45.02189544603392,0.6489375829696655,216.0,8709.0
Tl2S,45.007529145095006,0.6834946274757385,217.0,6987.0
Ge,44.760998549065626,0.7243266105651855,218.0,2851.0
UNiSn,44.7306381804854,0.6900299787521362,219.0,6420.0
As2Si2,44.70641431338501,0.7185457348823547,220.0,3493.0
WS2,44.62202081423277,0.76036536693573,221.0,553.0
Mg3As2,44.60658009207823,0.7088721394538879,222.0,4552.0
GeS,44.44588857049624,0.7449336647987366,223.0,1162.0
Sr2ZnMoO6,44.43,0.7216578125953674,224.0,3138.0
TmAgTe2,44.389065404248,0.7016429901123047,225.0,5298.0
CeGaO3,44.382100061112574,0.7338368892669678,226.0,1971.0
NiO2,44.351544988984834,0.7107687592506409,227.0,4340.0
SrTaO2N,44.24,0.6819854378700256,228.0,7119.0
SiC,44.23288465901948,0.7109977602958679,229.0,4312.0
Si2P4,44.22121993871827,0.7873841524124146,230.0,181.0
SrFeO3,44.18941275006,0.6270661950111389,231.0,9153.0
IrSb2,44.17,0.7516994476318359,232.0,839.0
CeCd11,44.151511450335406,0.6651386618614197,233.0,8096.0
Pb0.8Sn0.2Te,44.13,0.7011937499046326,234.0,5332.0
PuSn3,44.12457567674945,0.6845272183418274,235.0,6908.0
Mg2Si,43.99252995190254,0.7555354237556458,236.0,695.0
CdAl2Se4,43.99017979274416,0.6940909624099731,237.0,6032.0
BaO,43.983392118602886,0.7048373818397522,238.0,4959.0
LiGaGe,43.87223348202735,0.6773830652236938,239.0,7412.0
NSiN,43.87,0.7279266715049744,240.0,2503.0
Mo6O20,43.83745350813692,0.6526066660881042,241.0,8591.0
NiO,43.799079415788384,0.6346564292907715,242.0,9036.0
NaZnP,43.77823192256432,0.6712473630905151,243.0,7785.0
URh3,43.74541651205614,0.7686581611633301,244.0,390.0
IrAsS,43.59,0.7691918015480042,245.0,381.0
LiNbO3,43.549191544331656,0.6799923777580261,246.0,7247.0
CaSnO3,43.54412953132332,0.7248417735099792,247.0,2802.0
Mg2Ge,43.49263179338217,0.7007656097412109,248.0,5375.0
NaSbSe2,43.4871810924959,0.6597715020179749,249.0,8335.0
CeZn5,43.47961695431753,0.7393892407417297,250.0,1522.0
RbPbF3,43.225344927866345,0.7091030478477478,251.0,4533.0
PbTiO3,43.21446951878383,0.7112956643104553,252.0,4275.0
Ru2B3,43.186744542669146,0.7105998396873474,253.0,4356.0
Ni3Zn,43.18094793230882,0.6298191547393799,254.0,9111.0
Ba2CoNbO6,43.12,0.7027396559715271,255.0,5189.0
FeNCN,42.98286831388676,0.6945497393608093,256.0,5983.0
MnCoSi,42.96289665845954,0.7128536105155945,257.0,4094.0
YbFe2O4,42.9478790417304,0.6693763136863708,258.0,7879.0
KYb2F7,42.86448131611947,0.7175084352493286,259.0,3593.0
CsGeI3,42.82,0.7034972310066223,260.0,5105.0
NdS2,42.792148964388815,0.7542837858200073,261.0,739.0
Ni2Ce,42.72866550023544,0.6155511140823364,262.0,9275.0
AgTlTe,42.63641559780254,0.6407999396324158,263.0,8901.0
PdP2,42.6249419079965,0.7428417205810547,264.0,1287.0
Pt3Al,42.5662135134107,0.7043577432632446,265.0,5000.0
NaBH4,42.43407655811437,0.7467349171638489,266.0,1070.0
Tl2O,42.4272215604357,0.7188093066215515,267.0,3459.0
CePt2Sn2,42.4224823259376,0.6967601776123047,268.0,5766.0
GdAg,42.39161985223195,0.7238337993621826,269.0,2892.0
LiBeP,42.311346895288025,0.6563725471496582,270.0,8456.0
PbTePbS,42.3,0.7190746068954468,271.0,3423.0
SrS2,42.22736191933314,0.6752792596817017,272.0,7542.0
TiO2,42.11277148050885,0.7365022301673889,273.0,1742.0
BiSe,42.10543624690121,0.7011747360229492,274.0,5335.0
BiB,41.99,0.7387688755989075,275.0,1563.0
CePd3,41.98316120261769,0.7008962035179138,276.0,5365.0
SiO2,41.95182267833167,0.8100996017456055,277.0,38.0
BP1,41.868122980280006,0.7265306711196899,278.0,2642.0
WSe2,41.84785645168858,0.7225350141525269,279.0,3041.0
Ni62.5Al37.5,41.84529419419728,0.7054253220558167,280.0,4899.0
MgAl2S4,41.81943947256477,0.6422410607337952,281.0,8868.0
CePd2In,41.79858478982933,0.698624849319458,282.0,5590.0
Ba2NdNbO6,41.76503923958165,0.70904940366745,283.0,4536.0
TaO2F,41.69,0.7107484936714172,284.0,4341.0
