name,value,similarity,value_rank,similarity_rank
Bi2Te3,0.006728,0.7218479514122009,1.0,83.0
NaCo2O4,0.0066667,0.7196117043495178,2.0,88.0
Zr0.25Hf0.25Ti0.5NiSn,0.0065971,0.6482744812965393,3.0,271.0
Zr0.3Hf0.3Ti0.4NiSn,0.0063051,0.6620612740516663,4.0,252.0
Zr0.5Hf0.5NiSn1.998Sb0.002,0.0061042,0.6764012575149536,5.0,234.0
Zr0.5Hf0.5NiSn1.994Sb0.006,0.0056936,0.6700815558433533,6.0,239.0
Zr0.35Hf0.35Ti0.3NiSn,0.0053108,0.6693955063819885,7.0,240.0
In0.25Co4Sb12,0.0045882,0.68146812915802,8.0,224.0
Zr0.15Hf0.15Ti0.7NiSn,0.0045838,0.6649590730667114,9.0,246.0
Zr0.4Hf0.4Ti0.2NiSn,0.0043335,0.6619834899902344,10.0,253.0
Zr0.98Nb0.02NiSn,0.0042923,0.6861131191253662,11.0,209.0
Bi88Sb12,0.0042277,0.7266608476638794,12.0,63.0
Bi92Sb8,0.0041137,0.7275513410568237,13.0,56.0
Ti0.98Nb0.02NiSn,0.0039157,0.7070454359054565,14.0,137.0
Zr0.95Nb0.05NiSn,0.0038724,0.669137716293335,15.0,242.0
Zr0.99Nb0.01NiSn,0.0038694,0.68385249376297,16.0,214.0
In0.2Co4Sb12,0.0038343,0.6618114709854126,17.0,256.0
Ti0.95Nb0.05NiSn,0.0037655,0.6907843351364136,18.0,195.0
Bi90Sb10,0.0035767,0.7389751076698303,19.0,16.0
Ti0.99Nb0.01NiSn,0.0035003,0.7010035514831543,20.0,156.0
In0.3Co4Sb12,0.0034104,0.6498308777809143,21.0,269.0
In0.15Co4Sb12,0.0033821,0.6640111804008484,22.0,249.0
Ag0.15Sb0.15Te1.15Ge0.85,0.0032646,0.6841122508049011,23.0,213.0
Sb2Te3,0.0032533,0.7035229206085205,24.0,146.0
Si0.7956Ge0.1989P0.0055,0.0031634,0.7305758595466614,25.0,42.0
Ca2Co2O5,0.0031167,0.690309464931488,26.0,197.0
ZrNiSn0.98Sb0.02,0.0030079,0.7004543542861938,27.0,158.0
Mg2Si0.9985Bi0.0015,0.0029898,0.7336483001708984,28.0,34.0
ZrNiSn,0.0028969,0.6978466510772705,29.0,163.0
Sr0.61Ba0.39Nb2O6,0.0028858,0.69349604845047,30.0,179.0
Sb0.005I0.015Cs0.995Bi3.98Te5.97,0.0027974,0.7094014286994934,31.0,132.0
Mg2Si0.993Bi0.007,0.002746,0.7263206839561462,32.0,66.0
Na0.02Pb0.98Te0.85Se0.15,0.0027215,0.6876227259635925,33.0,206.0
Pb0.94Sr0.04TeNa0.02,0.0026904,0.6647640466690063,34.0,248.0
Na0.02Pb0.98Te,0.0026459,0.7152866125106812,35.0,105.0
Ca3Co4O9,0.0026431,0.6916124820709229,36.0,193.0
Mg2Si,0.0026013,0.7555354237556458,37.0,4.0
Bi86Sb14,0.0025822,0.7428765296936035,38.0,8.0
Na0.02Pb0.98Te0.75Se0.25,0.0025794,0.6926232576370239,39.0,188.0
Zr0.5Hf0.5NiSn,0.0025719,0.6464257836341858,40.0,274.0
Mg2Si0.997Bi0.003,0.0025198,0.7262914776802063,41.0,67.0
TiNiSn,0.0025018,0.7163482904434204,42.0,96.0
Pb0.98TeNa0.02,0.0024729,0.6865127682685852,43.0,207.0
Ba8Ga16Ge30,0.0024536,0.682978630065918,44.0,218.0
Mg2Si0.98Bi0.02,0.0024531,0.7191151976585388,45.0,91.0
CeFe3CoSb12,0.0024012,0.6414214968681335,46.0,276.0
NbCo1.05Sn,0.0023999,0.7130030989646912,47.0,117.0
Mg2Si0.995Bi0.005,0.0023654,0.7259413003921509,48.0,68.0
Bi2Sr2Co2O8,0.0023502,0.7242677807807922,49.0,74.0
CeFe3.5Co0.5Sb14,0.0023331,0.6390978097915649,50.0,277.0
Zn0.95Al0.05O,0.0023186,0.6482650637626648,51.0,272.0
Pb0.97Sr0.02TeNa0.01,0.0022964,0.6693904995918274,52.0,241.0
In0.1Co4Sb12,0.002267,0.646692156791687,53.0,273.0
Mg2Si0.6Ge0.4Bi0.02,0.0022662,0.6936066150665283,54.0,178.0
Bi83Sb17,0.0021801,0.7385451793670654,55.0,18.0
Si0.8Ge0.2,0.0021601,0.6934273838996887,56.0,180.0
Si0.79936Ge0.19984B0.0008,0.0020879,0.7270621657371521,57.0,61.0
Tl0.02Pb0.98Te,0.0020016,0.7032908797264099,58.0,148.0
Zn0.98Al0.02O,0.001988,0.6563147306442261,59.0,260.0
NbCo1.10Sn,0.0019418,0.7133179903030396,60.0,114.0
