name,value,similarity,value_rank,similarity_rank
Pb0.94Sr0.04TeNa0.02,2.27156,0.6647640466690063,1.0,175.0
Na0.02Pb0.98Te0.85Se0.15,1.703161584,0.6876227259635925,2.0,140.0
Na0.02Pb0.98Te0.75Se0.25,1.636067789,0.6926232576370239,3.0,128.0
Pb0.97Sr0.02TeNa0.01,1.56067,0.6693904995918274,4.0,168.0
Cu2Se,1.517965927,0.7159964442253113,5.0,62.0
In0.25Co4Sb12,1.504651502,0.68146812915802,6.0,154.0
Zr0.5Hf0.5NiSn1.998Sb0.002,1.45,0.6764012575149536,7.0,161.0
Zr0.25Hf0.25Ti0.5NiSn,1.419170654,0.6482744812965393,8.0,188.0
Ba8Ga16Ge30,1.401404207,0.682978630065918,9.0,150.0
NaCo2O4,1.399413646,0.7196117043495178,10.0,51.0
Tl0.02Pb0.98Te,1.387416646,0.7032908797264099,11.0,97.0
In0.2Co4Sb12,1.385962072,0.6618114709854126,12.0,179.0
Ag0.15Sb0.15Te1.15Ge0.85,1.384355066,0.6841122508049011,13.0,146.0
Zr0.5Hf0.5NiSn1.994Sb0.006,1.3448,0.6700815558433533,14.0,166.0
Na0.02Pb0.98Te,1.329723145,0.7152866125106812,15.0,65.0
Zn4Sb3,1.286961011,0.677547037601471,16.0,158.0
Ag9TlTe5,1.282285985,0.6598509550094604,17.0,180.0
In0.15Co4Sb12,1.27177965,0.6640111804008484,18.0,176.0
Zr0.35Hf0.35Ti0.3NiSn,1.263615091,0.6693955063819885,19.0,167.0
Cu1.98Se,1.230837438,0.7373603582382202,20.0,13.0
Pb0.98TeNa0.02,1.20211,0.6865127682685852,21.0,141.0
Bi2Sr2Co2O8,1.191133093,0.7242677807807922,22.0,42.0
In0.3Co4Sb12,1.181566055,0.6498308777809143,23.0,186.0
Ca2Co2O5,1.074714975,0.690309464931488,24.0,135.0
Zr0.15Hf0.15Ti0.7NiSn,1.016372274,0.6649590730667114,25.0,173.0
Tl9BiTe6,0.999677445,0.7028945088386536,26.0,99.0
Bi2Te3,0.975,0.7218479514122009,27.0,47.0
AgCrSe2,0.974581824,0.6878436207771301,28.0,139.0
Ba8Ga18Ge28,0.962666667,0.6817243099212646,29.0,153.0
Zr0.4Hf0.4Ti0.2NiSn,0.949138206,0.6619834899902344,30.0,177.0
Ca3Co4O9,0.931656243,0.6916124820709229,31.0,132.0
Sr0.61Ba0.39Nb2O6,0.930169913,0.69349604845047,32.0,120.0
Mg2Si0.6Ge0.4Bi0.02,0.925677614,0.6936066150665283,33.0,119.0
In0.1Co4Sb12,0.889593963,0.646692156791687,34.0,190.0
Mg2Si0.98Bi0.02,0.88258266,0.7191151976585388,35.0,53.0
Tl0.01Pb0.99Te,0.871875767,0.6922900080680847,36.0,130.0
Si0.7956Ge0.1989P0.0055,0.862981105,0.7305758595466614,37.0,23.0
LaFe3CoSb12,0.852255776,0.7272081971168518,38.0,31.0
Si0.8Ge0.2,0.845526008,0.6934273838996887,39.0,121.0
Yb14MnSb11,0.822909213,0.7031676769256592,40.0,98.0
CeFe3CoSb12,0.812013631,0.6414214968681335,41.0,192.0
La2.74Te4,0.810073831,0.7095810174942017,42.0,81.0
CeFe4Sb12,0.748267895,0.6521417498588562,43.0,185.0
Ca2.94Na0.06AlSb3,0.73390925,0.692881166934967,44.0,124.0
La3Te3.35Sb0.65,0.721599719,0.716185450553894,45.0,59.0
Ca2.97Na0.03AlSb3,0.717253124,0.6926695108413696,46.0,127.0
Ca2.85Na0.15AlSb3,0.694694118,0.6812429428100586,47.0,156.0
CeFe3.5Co0.5Sb14,0.6558871,0.6390978097915649,48.0,193.0
Zr0.98Nb0.02NiSn,0.651557074,0.6861131191253662,49.0,142.0
Ca4.75Na0.25Al2Sb6,0.649112203,0.6813962459564209,50.0,155.0
Mg2Si0.9985Bi0.0015,0.636122931,0.7336483001708984,51.0,20.0
Zr0.95Nb0.05NiSn,0.620411774,0.669137716293335,52.0,169.0
Zr0.99Nb0.01NiSn,0.603500311,0.68385249376297,53.0,147.0
In0.05Co4Sb12,0.594360115,0.6559979915618896,54.0,183.0
Si0.79936Ge0.19984B0.0008,0.580112442,0.7270621657371521,55.0,34.0
Sb0.005I0.015Cs0.995Bi3.98Te5.97,0.559473882,0.7094014286994934,56.0,84.0
Zr0.5Hf0.5NiSn,0.549896257,0.6464257836341858,57.0,191.0
Ti0.98Nb0.02NiSn,0.539039134,0.7070454359054565,58.0,87.0
Ti0.95Nb0.05NiSn,0.509801867,0.6907843351364136,59.0,134.0
Ti0.99Nb0.01NiSn,0.508510843,0.7010035514831543,60.0,103.0
Mg2Si0.997Bi0.003,0.499678292,0.7262914776802063,61.0,37.0
La3Te3.35Bi0.65,0.475062535,0.7242516875267029,62.0,43.0
Mg2Si,0.444343225,0.7555354237556458,63.0,2.0
Mg2Si0.993Bi0.007,0.436870906,0.7263206839561462,64.0,36.0
ZrNiSn,0.42941353,0.6978466510772705,65.0,109.0
Zn0.9975Al0.0025O,0.426280342,0.6817886233329773,66.0,152.0
Cu4.0Mo6S8,0.39819721,0.7054364681243896,67.0,92.0
Mg2Si0.995Bi0.005,0.385970744,0.7259413003921509,68.0,38.0
Sn1.2S1.2Ti2S4,0.377708802,0.6899762749671936,69.0,136.0
