name,value,similarity,value_rank,similarity_rank
Lu2Sn2O7,332.42,0.8115912675857544,1.0,7047.0
B4O2,210.30897082634,0.8967435956001282,2.0,1450.0
GeTe,164.72468363992363,0.8591148257255554,3.0,3634.0
Pd(NN)2Pd,164.56,0.9236467480659485,4.0,320.0
Yb2S3,158.6046469135798,0.8555079698562622,5.0,3914.0
AgLa,155.00619564586069,0.8354840278625488,6.0,5499.0
sulfur,154.18909813880933,0.9996559619903564,7.0,166.0
Be,130.12917470882437,0.9998349547386169,8.0,108.0
BeOBe,128.24,0.8234853744506836,9.0,6332.0
Bi,124.1857304128024,0.9992024898529053,10.0,213.0
NiTe,123.12870801978087,0.8468281030654907,11.0,4627.0
Li2MnP2O7,109.51766025870796,0.8374499678611755,12.0,5333.0
HCl,107.62530949555824,0.9998267889022827,13.0,115.0
PbTe,107.09,0.8683582544326782,14.0,2963.0
NaO5,103.22250211938004,0.8948882222175598,15.0,1538.0
NaIO3,102.11227711802258,0.8565700054168701,16.0,3831.0
TlSbSe2,100.66251169372144,0.7878152132034302,17.0,8095.0
FeOF,100.048420057294,0.8739978075027466,18.0,2603.0
HfTe5,99.38,0.8544431924819946,19.0,4018.0
RbS,99.08962801899578,0.8889240026473999,20.0,1827.0
tellurium,98.16686395515352,0.9999459981918335,21.0,13.0
mercury,96.57975697877762,0.9996222257614136,22.0,174.0
La2O3,96.47,0.8536483645439148,23.0,4091.0
Ni3Sb,96.31587269496364,0.9099553227424622,24.0,781.0
CePd2Zn3,95.40789651602422,0.8200410008430481,25.0,6554.0
MoH,94.2752362478645,0.8772761225700378,26.0,2412.0
MgOMg,93.44,0.8680908679962158,27.0,2982.0
HBr,91.51019137095852,0.9996744990348816,28.0,158.0
CeSbTe,91.44649410748151,0.8244739770889282,29.0,6260.0
CeAgSb2,91.0804600747551,0.7824859023094177,30.0,8262.0
ZrTe5,89.68157228184923,0.8541015386581421,31.0,4044.0
CeTe2,86.60162248531958,0.7601111531257629,32.0,8801.0
Nd2O3,83.43608004298575,0.855374276638031,33.0,3934.0
SiGe,81.98416795124601,0.8747828006744385,34.0,2556.0
AgBiSe2,81.84,0.6900553703308105,35.0,9352.0
SiH,81.59226692044263,0.8751466274261475,36.0,2531.0
CeAgAs2,81.466541273972,0.7100194692611694,37.0,9257.0
CeTl3,81.22992936785971,0.8718116879463196,38.0,2732.0
EuGa4,80.15852521275437,0.8494774103164673,39.0,4406.0
CdS,80.12564854907325,0.9845787286758423,40.0,245.0
GaN,79.03543227698601,0.99895179271698,41.0,219.0
SnTe,77.97,0.8498701453208923,42.0,4375.0
AgI,77.77505267294973,0.9996801018714905,43.0,156.0
CuRh2O4,77.07650908480935,0.7345763444900513,44.0,9113.0
AuZn,76.49785348060753,0.8865222334861755,45.0,1943.0
ReO3,75.70483432738801,0.8352036476135254,46.0,5518.0
Al2CeZn2,75.36250822986614,0.8073270320892334,47.0,7273.0
ZrCl3,74.56158320897319,0.8535737991333008,48.0,4100.0
KTe,74.35750765154955,0.8972766995429993,49.0,1424.0
PdTe,74.14374756341098,0.8418229818344116,50.0,4996.0
Nb3Sn,72.24509626911625,0.8174009919166565,51.0,6731.0
CoO,71.24919732012714,0.999954104423523,52.0,3.0
HfSe3,70.73355655777577,0.8217401504516602,53.0,6447.0
Nb3Ge,70.45203254919996,0.8566673398017883,54.0,3822.0
Bi4Te3,70.29752486321493,0.7885206937789917,55.0,8067.0
TiB2,70.14673641711522,0.9998286366462708,56.0,114.0
ScFe2,70.12057691659108,0.7678014039993286,57.0,8643.0
