name,value,similarity,value_rank,similarity_rank
Pb0.94Sr0.04TeNa0.02,2.27156,0.8978540301322937,1.0,86.0
Na0.02Pb0.98Te0.85Se0.15,1.703161584,0.9072156548500061,2.0,17.0
Na0.02Pb0.98Te0.75Se0.25,1.636067789,0.9005049467086792,3.0,63.0
Pb0.97Sr0.02TeNa0.01,1.56067,0.8890315890312195,4.0,120.0
Cu2Se,1.517965927,0.9042024612426758,5.0,31.0
In0.25Co4Sb12,1.504651502,0.8890340328216553,6.0,119.0
Zr0.5Hf0.5NiSn1.998Sb0.002,1.45,0.9089004993438721,7.0,13.0
Zr0.25Hf0.25Ti0.5NiSn,1.419170654,0.891572117805481,8.0,114.0
Ba8Ga16Ge30,1.401404207,0.8176828026771545,9.0,189.0
NaCo2O4,1.399413646,0.8228011131286621,10.0,185.0
Tl0.02Pb0.98Te,1.387416646,0.8968641757965088,11.0,89.0
In0.2Co4Sb12,1.385962072,0.881432056427002,12.0,152.0
Ag0.15Sb0.15Te1.15Ge0.85,1.384355066,0.9014179110527039,13.0,58.0
Zr0.5Hf0.5NiSn1.994Sb0.006,1.3448,0.9118720889091492,14.0,5.0
Na0.02Pb0.98Te,1.329723145,0.9036241769790649,15.0,35.0
Zn4Sb3,1.286961011,0.8108689188957214,16.0,192.0
Ag9TlTe5,1.282285985,0.8497967720031738,17.0,171.0
In0.15Co4Sb12,1.27177965,0.8908713459968567,18.0,116.0
Zr0.35Hf0.35Ti0.3NiSn,1.263615091,0.8910661339759827,19.0,115.0
Cu1.98Se,1.230837438,0.8878645896911621,20.0,125.0
Pb0.98TeNa0.02,1.20211,0.8934527039527893,21.0,107.0
Bi2Sr2Co2O8,1.191133093,0.7592268586158752,22.0,194.0
In0.3Co4Sb12,1.181566055,0.8815447092056274,23.0,151.0
Ca2Co2O5,1.074714975,0.587762713432312,24.0,197.0
Zr0.15Hf0.15Ti0.7NiSn,1.016372274,0.9027068018913269,25.0,47.0
Tl9BiTe6,0.999677445,0.8412123322486877,26.0,176.0
