formula,synonym,description
As2Mg3,magnesium arsenide,NO DESCRIPTION
Al2(SO4)3,aluminium sulphate,"Aluminium sulfate is a salt with the formula Al2(SO4)3. It is soluble in water and is mainly used as a coagulating agent (promoting particle collision by neutralizing charge) in the purification of drinking water and wastewater treatment plants, and also in paper manufacturing.
"
Al2Se,dialuminium selenide,NO DESCRIPTION
Al2Si2O5(OH)4,kaolin,"Kaolinite (/ˈkeɪ.ələˌnaɪt, -lɪ-/ KAY-ə-lə-nyte, -⁠lih-; also called kaolin) is a clay mineral, with the chemical composition Al2Si2O5(OH)4. It is a layered silicate mineral, with one tetrahedral sheet of silica (SiO4) linked through oxygen atoms to one octahedral sheet of alumina (AlO6).
"
Al2Te,dialuminium telluride,NO DESCRIPTION
Al3F14Na5,chiolite,"Chiolite is a tetragonal-ditetragonal dipyramidal mineral, composed of sodium, fluorine, and aluminium. The name originates from the combination of the Greek words for snow (χιώυ) and stone (λίθος). It is an allusion to its similarity and appearance to cryolite (ice stone). Chiolite is an IMA approved mineral that has been grandfathered, meaning the name chiolite is believed to refer to a valid species to this day. Synonyms of chiolite are arksudite, arksutite, chodneffite, chodnewite and nipholith. It was first discovered in the Ilmen mountains, Russia, in 1846. Chiolite has been a valid species from the same year of its discovery.
"
Al4C3,aluminium carbide,"Aluminium carbide, chemical formula Al4C3, is a carbide of aluminium. It has the appearance of pale yellow to brown crystals. It is stable up to 1400 °C. It decomposes in water with the production of methane.
"
Al6BeO10,beryllium aluminium oxide,"The mineral or gemstone chrysoberyl is an aluminate of beryllium with the formula BeAl2O4. The name chrysoberyl is derived from the Greek words χρυσός chrysos and βήρυλλος beryllos, meaning ""a gold-white spar"". Despite the similarity of their names, chrysoberyl and beryl are two completely different gemstones, although they both contain beryllium. Chrysoberyl is the third-hardest frequently encountered natural gemstone and lies at 8.5 on the Mohs scale of mineral hardness, between corundum (9) and topaz (8).
"
Al6O13Si2,mullite,"Mullite or porcelainite is a rare silicate mineral formed during contact metamorphism of clay minerals. It can form two stoichiometric forms: 3Al2O32SiO2 or 2Al2O3 SiO2. Unusually, mullite has no charge-balancing cations present. As a result, there are three different aluminium sites: two distorted tetrahedral and one octahedral.
"
ArClF,argon chloride fluoride,NO DESCRIPTION
ArClH,argon chloride hydride,NO DESCRIPTION
ArFH,argon fluoride hydride,NO DESCRIPTION
AsBrO,arsenic oxybromide,"In chemistry, molecular oxohalides (oxyhalides) are a group of chemical compounds in which both oxygen and halogen atoms are attached to another chemical element A in a single molecule. They have the general formula AOmXn, where X is a halogen. Known oxohalides have fluorine (F), chlorine (Cl), bromine (Br), and/or iodine (I) in their molecules. The element A may be a main group element, a transition element, a rare earth element or an actinide. The term oxohalide, or oxyhalide, may also refer to minerals and other crystalline substances with the same overall chemical formula, but having an ionic structure.
"
AsBr3,arsenic tribromide,"Arsenic tribromide is an inorganic compound with the formula AsBr3, it is a bromide of arsenic. Arsenic is a chemical element that has the symbol As and atomic number 33. This pyramidal molecule is the only known binary arsenic bromide. AsBr3 is noteworthy for its very high refractive index of approximately 2.3. It also has a very high diamagnetic susceptibility.  The compound exists as colourless deliquescent crystals that fume in moist air.
"
AsClO,arsenic monoxide monochloride,NO DESCRIPTION
AsCl3,Arsenic(III) chloride,"Arsenic trichloride is an inorganic compound with the formula AsCl3, also known as arsenous chloride or butter of arsenic.  This poisonous oil is colourless, although impure samples may appear yellow.  It is an intermediate in the manufacture of organoarsenic compounds.
"
AsCl3,arsenic trichloride,"Arsenic trichloride is an inorganic compound with the formula AsCl3, also known as arsenous chloride or butter of arsenic.  This poisonous oil is colourless, although impure samples may appear yellow.  It is an intermediate in the manufacture of organoarsenic compounds.
"
AsCl3O,arsenic oxychloride,"In chemistry, molecular oxohalides (oxyhalides) are a group of chemical compounds in which both oxygen and halogen atoms are attached to another chemical element A in a single molecule. They have the general formula AOmXn, where X is a halogen. Known oxohalides have fluorine (F), chlorine (Cl), bromine (Br), and/or iodine (I) in their molecules. The element A may be a main group element, a transition element, a rare earth element or an actinide. The term oxohalide, or oxyhalide, may also refer to minerals and other crystalline substances with the same overall chemical formula, but having an ionic structure.
"
Al2S3,aluminium sulfide,"Aluminium sulfide is a chemical compound with the formula Al2S3. This colorless species has an interesting structural chemistry, existing in several forms. The material is sensitive to moisture, hydrolyzing to hydrated aluminum oxides/hydroxides. This can begin when the sulfide is exposed to the atmosphere. The hydrolysis reaction generates gaseous hydrogen sulfide (H2S).
"
Al2S,dialuminium monosulfide,NO DESCRIPTION
Al2O7Si2,metakaolinite,NO DESCRIPTION
Al2SiO5,andalusite,"Andalusite is an aluminium nesosilicate mineral with the chemical formula Al2SiO5. This mineral was called andalousite by Delamétehrie, who thought it came from Andalusia, Spain. It soon became clear that it was a locality error, and that the specimens studied were actually from El Cardoso de la Sierra, in the Spanish province of Guadalajara, not Andalusia.
"
AlOSi,aluminium silicon monoxide,NO DESCRIPTION
AlO2,aluminium(IV) oxide,NO DESCRIPTION
AlP,aluminium monophosphide,"Aluminium phosphide is a highly toxic inorganic compound with the chemical formula AlP, used as a wide band gap semiconductor and a fumigant. This colorless solid is generally sold as a grey-green-yellow powder due to the presence of impurities arising from hydrolysis and oxidation.
"
AlPO4,aluminium phosphate,"Aluminium phosphate is a chemical compound. In nature it occurs as the mineral berlinite. Many synthetic forms of aluminium phosphate are known. They have framework structures similar to zeolites and some are used as catalysts, ion-exchangers or molecular sieves. Commercial aluminium phosphate gel is available.
"
AlTe,aluminium monotelluride,NO DESCRIPTION
AlTe2,monoaluminium ditelluride,NO DESCRIPTION
Al2BeO4,beryllium aluminium oxide,"The mineral or gemstone chrysoberyl is an aluminate of beryllium with the formula BeAl2O4. The name chrysoberyl is derived from the Greek words χρυσός chrysos and βήρυλλος beryllos, meaning ""a gold-white spar"". Despite the similarity of their names, chrysoberyl and beryl are two completely different gemstones, although they both contain beryllium. Chrysoberyl is the third-hardest frequently encountered natural gemstone and lies at 8.5 on the Mohs scale of mineral hardness, between corundum (9) and topaz (8).
"
Al2Br6,dialuminium hexabromide,NO DESCRIPTION
AsCl4F,arsenic tetrachloride fluoride,NO DESCRIPTION
Al2(CO3)3,aluminium carbonate,"Aluminium carbonate (Al2(CO3)3), is a carbonate of aluminium. It is not well characterized; one authority says that simple carbonates of aluminium are not known. However related compounds are known, such as the basic sodium aluminium carbonate mineral dawsonite (NaAlCO3(OH)2) and hydrated basic aluminium carbonate minerals scarbroite (Al5(CO3)(OH)13•5(H2O)) and hydroscarbroite (Al14(CO3)3(OH)36•nH2O).
"
Al2CoO4,cobalt blue,"Cobalt blue is a blue pigment made by sintering cobalt(II) oxide with aluminum(III) oxide (alumina) at 1200 °C. Chemically, cobalt blue pigment is cobalt(II) oxide-aluminium oxide, or cobalt(II) aluminate, CoAl2O4. Cobalt blue is lighter and less intense than the (iron-cyanide based) pigment Prussian blue. It is extremely stable and historically has been used as a coloring agent in ceramics (especially Chinese porcelain), jewelry, and paint. Transparent glasses are tinted with the silica-based cobalt pigment ""smalt"".
"
